,name,Action,Adventure,Casual,Horror,Multiplayer,Racing,RPG,Simulation,Sport,Strategy,firstReleaseDate,earlyAccess,copiesSold,price,revenue,avgPlaytime,reviewScore,publisherClass,publishers,developers,steamUrl
2420,CelV Run,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2024-01-25,False,1,5.99,5.0,2.056675491780356,100,Hobbyist,Triniti Game Studio,Luke Grayson,https://store.steampowered.com/app/2762270
2421,Celebrities Hacked,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-30,False,343,0.0,0.0,2.0065141517897107,80,Hobbyist,Somequest,Somequest,https://store.steampowered.com/app/2554820
2422,Celestia's Light,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-12-11,False,1,19.99,17.0,0.0,0,Hobbyist,Celestia's Light,Celestia's Light,https://store.steampowered.com/app/3361780
2423,Celestia: Chain of Fate,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2024-09-12,False,202,29.99,4972.0,15.833363422764345,80,Indie,PQube,Agate,https://store.steampowered.com/app/2791850
2424,Celestial Contact,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-16,False,25,0.99,22.0,3.842965433073705,100,Hobbyist,ANDGames Ltd,ANDGames Ltd,https://store.steampowered.com/app/2962270
2425,Celestial Crown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-09-05,True,1,13.99,12.0,0.0,0,Hobbyist,Team Celestial Games,Team Celestial Games,https://store.steampowered.com/app/1217110
2426,Celestial Front - Galactic War Sim,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2024-12-06,False,1,0.99,0.0,0.0,0,Hobbyist,Dancing Dots,Dancing Dots,https://store.steampowered.com/app/3359420
2427,Celestial Impact Invasion,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-02-13,False,39,0.99,116.0,2.6214668753758525,80,Hobbyist,Savage5609 Games,savage5609 Games,https://store.steampowered.com/app/2801260
2428,Celestis,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2024-10-28,False,58,4.99,226.0,25.77300018807553,100,Indie,Tasharen Entertainment Inc.,Tasharen Entertainment Inc.,https://store.steampowered.com/app/3215480
2429,Celestwald Adventure,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-02-10,False,19,1.99,29.0,2.0009898917532944,67,Hobbyist,Annemu Games,Annemu Games,https://store.steampowered.com/app/2795670
